"Order.ID","Coupon_Details","Customer.ID","Order.Date","Billing.Suburb","Billing.State","Billing.Zip","ProductID","ProductQty","ProductSKU","ProductName","ProductWeight","ProductUnitPrice","ProductTotalPrice","ProductDetail_1","ProductDetail_2","ProductDetail_3","ProductDetail_4","ProductDetail_5","ProductDetail_6","ProductDetail_7","ProductDetail_8","ProductDetail_9","ProductDetail_10","ProductDetail_11","ProductDetail_12","ProductDetail_13","ProductDetail_14","ProductDetail_15"
1758,"",127,"17/04/2023","Mount Vernon","IN","47620",258,1,"","Meat Bag",10,30,30,"6 Chicken Breast","frozen: Included","1 lb. Breaded / Cooked Chicken Breast Tenders","frozen: Included","1 lb. Ground Turkey","frozen: Included","1 lb. Ground Beef","frozen: Included","1 lb. Sausage","frozen: Included","1 lb. Bacon: Included","6 Pork Chops","frozen: Included",NA,NA
1758,"",127,"17/04/2023","Mount Vernon","IN","47620",265,1,"","Italian Dinner Bag",16,13,13,"16 oz. Whole Grain Spaghetti Noodles: Included","1 lb. Ground Beef: Included","14 oz. Jar Marinara Sauce: Included","16 in. Premade Pizza Crust: Included","8 oz. Mozarella Cheese: Included","8 oz. Grated Parmesan Cheese: Included","14 oz. Jar of Pizza Sauce: Included",NA,NA,NA,NA,NA,NA,NA,NA
1805,"",127,"2/5/2023","Mount Vernon","IN","47620",243,1,"","Dairy / Egg Bag",10,18,18,"Choice of milk: Gallon 2% Milk","32 oz. Vanilla Yogurt: Included","1 lb. Butter: Included","16 oz. Sour Cream: Included","16 oz. Cottage Cheese: Included","1 lb. Colby Jack Cheese: Included","1 lb. Mozzarella Cheese: Included","1 Dozen Eggs: Included",NA,NA,NA,NA,NA,NA,NA
1805,"",127,"2/5/2023","Mount Vernon","IN","47620",248,1,"","Fresh Vegetable Bag",10,15,15,"12 oz. Broccoli: Included","Head of Cauliflower: Included","Head of Cabbage: Included","1 lb. Whole Carrots: Included","12 oz. Bag Spinach: Included","2 Onions: Included","4 Sweet Potatoes: Included","Bell Pepper: Included",NA,NA,NA,NA,NA,NA,NA
1805,"",127,"2/5/2023","Mount Vernon","IN","47620",255,1,"","Fresh Fruit Bag",10,14,14,"1 lb. Grapes: Included","1 lb. Strawberries: Included","1 lb. Fresh Blueberries: Included","6 Apples: Included","1 Bunch Bananas: Included","6 Oranges: Included","3 Lemons: Included","4 Pears: Included",NA,NA,NA,NA,NA,NA,NA
1805,"",127,"2/5/2023","Mount Vernon","IN","47620",258,1,"","Meat Bag",10,30,30,"6 Chicken Breast","frozen: Included","1 lb. Breaded / Cooked Chicken Breast Tenders","frozen: Included","1 lb. Ground Turkey","frozen: Included","1 lb. Ground Beef","frozen: Included","1 lb. Sausage","frozen: Included","1 lb. Bacon: Included","6 Pork Chops","frozen: Included",NA,NA
1880,"",127,"10/6/2023","Mount Vernon","IN","47620",243,1,"","Dairy / Egg Bag",10,18,18,"Choice of milk: Gallon 2% Milk","32 oz. Vanilla Yogurt: Included","1 lb. Butter: Included","16 oz. Sour Cream: Included","16 oz. Cottage Cheese: Included","1 lb. Colby Jack Cheese: Included","1 lb. Mozzarella Cheese: Included","1 Dozen Eggs: Included",NA,NA,NA,NA,NA,NA,NA
1880,"",127,"10/6/2023","Mount Vernon","IN","47620",248,1,"","Fresh Vegetable Bag",10,15,15,"12 oz. Broccoli: Included","Head of Cauliflower: Included","Head of Cabbage: Included","1 lb. Whole Carrots: Included","12 oz. Bag Spinach: Included","2 Onions: Included","4 Sweet Potatoes: Included","Bell Pepper: Included",NA,NA,NA,NA,NA,NA,NA
1880,"",127,"10/6/2023","Mount Vernon","IN","47620",255,1,"","Fresh Fruit Bag",10,14,14,"1 lb. Grapes: Included","1 lb. Strawberries: Included","1 lb. Fresh Blueberries: Included","6 Apples: Included","1 Bunch Bananas: Included","6 Oranges: Included","3 Lemons: Included","4 Pears: Included",NA,NA,NA,NA,NA,NA,NA
1880,"",127,"10/6/2023","Mount Vernon","IN","47620",265,1,"","Italian Dinner Bag",16,13,13,"16 oz. Whole Grain Spaghetti Noodles: Included","1 lb. Ground Beef: Included","14 oz. Jar Marinara Sauce: Included","16 in. Premade Pizza Crust: Included","8 oz. Mozarella Cheese: Included","8 oz. Grated Parmesan Cheese: Included","14 oz. Jar of Pizza Sauce: Included",NA,NA,NA,NA,NA,NA,NA,NA
2027,"",127,"22/08/2023","Mount Vernon","IN","47620",243,1,"","Dairy / Egg Bag",10,17,17,"Choice of milk: Gallon 2% Milk","32 oz. Vanilla Yogurt: Included","1 lb. Butter: Included","16 oz. Sour Cream: Included","16 oz. Cottage Cheese: Included","1 lb. Colby Jack Cheese: Included","1 lb. Mozzarella Cheese: Included","1 Dozen Eggs: Included",NA,NA,NA,NA,NA,NA,NA
2027,"",127,"22/08/2023","Mount Vernon","IN","47620",248,1,"","Fresh Vegetable Bag",10,10,10,"12 oz. Broccoli: Included","Head of Cauliflower: Included","Head of Cabbage: Included","1 lb. Whole Carrots: Included","12 oz. Bag Spinach: Included","2 Onions: Included","4 Sweet Potatoes: Included","Bell Pepper: Included",NA,NA,NA,NA,NA,NA,NA
2027,"",127,"22/08/2023","Mount Vernon","IN","47620",255,1,"","Fresh Fruit Bag",10,12,12,"1 lb. Grapes: Included","1 lb. Strawberries: Included","1 lb. Fresh Blueberries: Included","6 Apples: Included","1 Bunch Bananas: Included","6 Oranges: Included","3 Lemons: Included","4 Pears: Included",NA,NA,NA,NA,NA,NA,NA
2027,"",127,"22/08/2023","Mount Vernon","IN","47620",258,1,"","Meat Bag",10,28,28,"6 Chicken Breast","frozen: Included","1 lb. Breaded / Cooked Chicken Breast Tenders","frozen: Included","1 lb. Ground Turkey","frozen: Included","1 lb. Ground Beef","frozen: Included","1 lb. Sausage","frozen: Included","1 lb. Bacon: Included","6 Pork Chops","frozen: Included",NA,NA
2073,"",127,"18/09/2023","Mount Vernon","IN","47620",248,1,"","Fresh Vegetable Bag",10,10,10,"12 oz. Broccoli: Included","Head of Cauliflower: Included","Head of Cabbage: Included","1 lb. Whole Carrots: Included","12 oz. Bag Spinach: Included","2 Onions: Included","4 Sweet Potatoes: Included","Bell Pepper: Included",NA,NA,NA,NA,NA,NA,NA
2073,"",127,"18/09/2023","Mount Vernon","IN","47620",255,1,"","Fresh Fruit Bag",10,12,12,"1 lb. Grapes: Included","1 lb. Strawberries: Included","1 lb. Fresh Blueberries: Included","6 Apples: Included","1 Bunch Bananas: Included","6 Oranges: Included","3 Lemons: Included","4 Pears: Included",NA,NA,NA,NA,NA,NA,NA
2073,"",127,"18/09/2023","Mount Vernon","IN","47620",258,2,"","Meat Bag",10,28,56,"6 Chicken Breast","frozen: Included","1 lb. Breaded / Cooked Chicken Breast Tenders","frozen: Included","1 lb. Ground Turkey","frozen: Included","1 lb. Ground Beef","frozen: Included","1 lb. Sausage","frozen: Included","1 lb. Bacon: Included","6 Pork Chops","frozen: Included",NA,NA
2073,"",127,"18/09/2023","Mount Vernon","IN","47620",265,1,"","Italian Dinner Bag",16,13,13,"16 oz. Whole Grain Spaghetti Noodles: Included","1 lb. Ground Beef: Included","14 oz. Jar Marinara Sauce: Included","16 in. Premade Pizza Crust: Included","8 oz. Mozarella Cheese: Included","8 oz. Grated Parmesan Cheese: Included","14 oz. Jar of Pizza Sauce: Included",NA,NA,NA,NA,NA,NA,NA,NA
2151,"",127,"24/10/2023","Mount Vernon","IN","47620",255,1,"","Fresh Fruit Bag",10,12,12,"1 lb. Grapes: Included","1 lb. Strawberries: Included","1 lb. Fresh Blueberries: Included","6 Apples: Included","1 Bunch Bananas: Included","6 Oranges: Included","3 Lemons: Included","4 Pears: Included",NA,NA,NA,NA,NA,NA,NA
2151,"",127,"24/10/2023","Mount Vernon","IN","47620",258,2,"","Large Meat Bag",10,28,56,"6 Chicken Breast","frozen: Included","1 lb. Breaded / Cooked Chicken Breast Tenders","frozen: Included","1 lb. Ground Turkey","frozen: Included","1 lb. Ground Beef","frozen: Included","1 lb. Sausage","frozen: Included","1 lb. Bacon: Included","6 Pork Chops","frozen: Included",NA,NA
2151,"",127,"24/10/2023","Mount Vernon","IN","47620",376,1,"","Fresh Vegetable Bag w/options",36,10,10,"Broccoli Florets","16 oz: Included","Head of Cauliflower: Included","Choice of Cabbage or Romaine Lettuce: Green Cabbage head","Carrots","1 lb.: Included","Spinach - 12 oz.: Included","White Onion - 2 each: Included","Choice of Potato: Russet potato - 4 count","Bell Pepper: Included",NA,NA,NA,NA,NA
2200,"",127,"24/11/2023","Mount Vernon","IN","47620",255,1,"","Fresh Fruit Bag",10,12,12,"1 lb. Grapes: Included","1 lb. Strawberries: Included","1 lb. Fresh Blueberries: Included","6 Apples: Included","1 Bunch Bananas: Included","6 Oranges: Included","3 Lemons: Included","4 Pears: Included",NA,NA,NA,NA,NA,NA,NA
2200,"",127,"24/11/2023","Mount Vernon","IN","47620",258,1,"","Large Meat Bag",10,28,28,"6 Chicken Breast","frozen: Included","1 lb. Breaded / Cooked Chicken Breast Tenders","frozen: Included","1 lb. Ground Turkey","frozen: Included","1 lb. Ground Beef","frozen: Included","1 lb. Sausage","frozen: Included","1 lb. Bacon: Included","6 Pork Chops","frozen: Included",NA,NA
2200,"",127,"24/11/2023","Mount Vernon","IN","47620",374,1,"THX-1142","Meat Bag - Beef",24,18,18,"Ground Beef - 1 1b.: Ground Beef - 1 1b.","Chicken Breast - 6 Count: Chicken Breast - 6 Count","Chicken Breast Tenders","Frozen Breaded Cooked - 1lb.: Chicken Breast Tenders","Frozen Breaded Cooked - 1lb.","Ground Turkey - 1 lb.: Ground Turkey - 1 lb.",NA,NA,NA,NA,NA,NA,NA,NA,NA
2200,"",127,"24/11/2023","Mount Vernon","IN","47620",376,1,"","Fresh Vegetable Bag w/options",36,10,10,"Broccoli Florets","16 oz: Included","Head of Cauliflower: Included","Choice of Cabbage or Romaine Lettuce: Green Cabbage head","Carrots","1 lb.: Included","Spinach - 12 oz.: Included","White Onion - 2 each: Included","Choice of Potato: Russet potato - 4 count","Bell Pepper: Included",NA,NA,NA,NA,NA
2278,"",127,"22/12/2023","Mount Vernon","IN","47620",243,1,"","Dairy / Egg Bag",10,17,17,"Choice of milk: Gallon 2% Milk","32 oz. Vanilla Yogurt: Included","1 lb. Butter: Included","16 oz. Sour Cream: Included","16 oz. Cottage Cheese: Included","1 lb. Colby Jack Cheese: Included","1 lb. Mozzarella Cheese: Included","1 Dozen Eggs: Included",NA,NA,NA,NA,NA,NA,NA
2278,"",127,"22/12/2023","Mount Vernon","IN","47620",255,1,"","Fresh Fruit Bag",10,12,12,"1 lb. Grapes: Included","1 lb. Strawberries: Included","1 lb. Fresh Blueberries: Included","6 Apples: Included","1 Bunch Bananas: Included","6 Oranges: Included","3 Lemons: Included","4 Pears: Included",NA,NA,NA,NA,NA,NA,NA
